,GS UN Equity,MMM UN Equity,BA UN Equity,UNH UN Equity,IBM UN Equity,HD UN Equity,MCD UN Equity,AAPL UW Equity,JNJ UN Equity,TRV UN Equity,UTX UN Equity,DIS UN Equity,CAT UN Equity,CVX UN Equity,V UN Equity,JPM UN Equity,PG UN Equity,AXP UN Equity,DD UN Equity,XOM UN Equity,WMT UN Equity,MRK UN Equity,NKE UN Equity,VZ UN Equity,KO UN Equity,PFE UN Equity,INTC UW Equity,CSCO UW Equity,MSFT UW Equity,GE UN Equity
7/25/2006,148.49,68.11,83.75,51.49,75.89,35.24,34.76,8.85,61.9,45.13,62.03,29.0881,70.66,66.95,,44.63,56.88,50.84,38.6349,65.74,44.67,39.27,10.045,29.5167,22.125,24.96,17.54,18.1,24.22,32.7
7/26/2006,147.38,69.06,79.9,50.53,75.83,34.7,34.45,9.1243,62.05,45.15,61.77,28.9499,70.13,67.5,,44.65,56.67,51.75,38.2454,66.55,43.67,40.18,10,29.9648,22.225,25.11,17.5,17.91,24.37,32.68
7/27/2006,148.26,69.75,78.71,49.46,76.15,34.02,34.73,9.0571,62.56,45.01,61.63,28.8216,70.72,67.73,,44.7,56.44,51.29,37.7799,66.47,43.53,40.98,9.87,29.8662,22.155,25.65,17.47,17.69,23.87,32.65
7/28/2006,151.72,70.52,78.91,47.85,76.96,34.59,35.29,9.37,62.92,46.14,62.15,29.3051,71.21,66.05,,45.48,56.81,52.19,38.1314,67,44.46,41.12,9.9875,30.2337,22.26,26.11,18.18,18.08,24.25,33.02
7/31/2006,152.75,70.4,77.42,47.83,77.41,34.71,35.39,9.7086,62.55,45.8,62.19,29.2953,70.87,65.78,,45.62,56.2,52.06,37.6754,67.74,44.5,40.27,9.875,30.3144,22.25,25.99,18,17.85,24.03,32.69
8/1/2006,151.26,69.91,78.17,47.82,76.14,34.14,35.08,9.6057,62.68,45.15,61.68,28.9598,69.71,66.25,,45.51,55.93,52.11,37.2575,68.18,44.09,40.82,9.8363,29.8214,22.155,25.99,17.66,17.48,23.99,32.56
8/2/2006,149.9,69.61,78.62,48.57,76.32,34.11,35.59,9.7271,63.15,45.05,62.29,29.4038,70.75,65.97,,45.49,58.29,51.77,37.6754,68.48,44.37,41.03,9.7663,30.0545,22.155,25.61,17.58,17.46,24.31,32.6
8/3/2006,152.1,69.28,79.4,47.77,76.33,34.57,35.84,9.9514,63.08,44.92,62.74,29.6406,72.73,65.5,,45.66,59.45,52.13,37.8464,68.37,44.73,41.59,9.7688,30.0186,22.01,25.51,17.36,17.57,24.24,32.73
8/4/2006,153,69.45,79.49,48.56,75.91,34.71,35.41,9.7686,63.53,44.49,62.57,29.5025,73.08,65.66,,45.12,59.45,52.21,37.6565,68.69,44.87,41.35,9.8338,30.2696,21.925,25.98,17.49,17.24,24.29,32.8
8/7/2006,152.65,69,79.75,48.49,75.52,34.69,35.53,9.6014,63.27,44.47,63.09,28.9993,73.18,66.83,,45.27,59.4,52.1,37.647,69.23,44.82,40.84,9.74,29.8483,21.805,26.05,17.3,17.41,24.22,32.69
8/8/2006,151.45,68.56,78.15,49.42,75.33,34.33,35.16,9.25,63.56,43.97,61.88,28.5947,71.6,67.2,,44.99,59.67,52.27,37.248,69.27,44.46,40.98,9.6388,30.0634,21.905,26.16,17.35,17.29,24.34,32.34
8/9/2006,150.01,68.3,77.16,48.98,75.39,33.4,34.36,9.0843,63.32,42.84,60.31,28.4467,68.52,67.48,,44.35,59.54,52.06,37.2385,69.29,43.9,41.46,9.61,30.3234,21.875,26.15,17.4,19.78,24.44,32.28
8/10/2006,151.63,68.41,76.2,47.4,75.74,33.61,34.87,9.1529,63.55,43.04,60.45,29.1867,68.32,67.35,,44.05,60.26,51.98,37.6375,69.37,44.89,41.33,9.525,30.422,21.95,25.97,17.75,19.56,24.46,32.67
8/11/2006,151.11,68.53,75.96,47.57,75.48,33.27,34.69,9.0929,63.47,42.62,60.15,29.0387,67.03,67.85,,43.93,60.26,51.8,37.115,69.73,44.69,40.6,9.5638,30.5385,21.88,25.82,17.41,19.54,24.43,32.5
8/14/2006,150.37,68.62,75.39,47.66,76.68,33.26,34.72,9.1343,63.91,43.09,60.47,29.1275,65.96,67.05,,43.89,59.76,51.8,37.096,69.25,45,40.88,9.6475,30.404,21.995,26.08,17.87,20.09,24.53,32.82
8/15/2006,152.65,69.78,76.58,48.13,77.08,34.44,35.5,9.5,64.41,44.14,61.03,29.2459,67.41,66.86,,45.04,60.44,52.81,37.9699,68.69,44.55,40.95,9.7088,30.8253,22.16,26.4,18.15,20.65,24.62,33.2
8/16/2006,154.99,70.79,78.83,48.14,79.09,34.5,35.97,9.72,64.61,44.22,62.17,29.315,69.11,65.41,,45.47,60.42,53.03,38.3784,67.57,44.43,41.18,9.7188,30.6819,22.165,26.75,18.65,21.13,24.73,33.71
8/17/2006,154.45,71.2,78.59,49.04,79.37,34.72,36.24,9.6557,64.23,44.71,61.95,29.5025,69.36,66.15,,45.46,60.34,53.51,38.3879,68.08,44.63,38.83,9.62,30.6819,22.09,27,18.55,20.85,24.7,33.92
