   1    37123    224347   1848
   2    34712    179075   1849
   3    29619    175472   1850
   4    21151    194682   1851
   5    24859    292530   1852
   6    25152    493952   1853
   7    42375    512291   1854
   8    50839    345626   1855
   9    61581    258806   1856
  10    61951    302267   1857
  11    76231    313502   1858
  12    63264    254462   1859
  13    44730    177291   1860
  14    31094    206020   1861
  15    49452    335385   1862
  16    43961    357060   1863
  17    61727    509769   1864
  18    60334    418370   1865
  19    51404    320824   1866
  20    58451    412164   1867
  21    73575    618081   1868
  22    74343    404173   1869
  23    27708    232251   1870
  24    31985    443999   1871
  25    39266    704789   1872
  26    44740    767896   1873
  27    60429    671982   1874
  28    72273    523802   1875
  29    79214    583319   1876
  30    79060    437121   1877
  31    84244    486030   1878
  32    62590    499727   1879
  33    35072    478078   1880
  34    36160    802034   1881
  35    45600   1029296   1882
  36    47508   1069183   1883
  37    52290   1083067   1884
  38   110824    817003   1885
  39    76503    347050   1886
  40    64303    380132   1887
  41    83023    344878   1888
  42    40748    223614   1889
  43    35369    322160   1890
  44    29479    574742   1891
  45    42264    806103   1892
  46    58171    934646   1893
  47    50815    648687   1894
  48    51285    674811   1895
  49    70229    813159   1896
  50    76365    551716   1897
  51    70407    568934   1898
  52    41839    701487   1899
  53    45978    767741   1900
  54    47813    928199   1901
  55    57620   1650214   1902
  56    66449   1488287   1903
  57    54673    924439   1904
  58    55996   1056253   1905
  59    60053    695070   1906
  60    39169    407472   1907
  61    21534    172418   1908
  62    17857    302195   1909
  63    21788    749142   1910
  64    33008    963597   1911

