mon day year Open High Low Close Volume Adjclose
1 5 2004 1108.48 1122.22 1108.48 1122.22 1578200000 1122.22
1 6 2004 1122.22 1124.46 1118.44 1123.67 1494500000 1123.67
1 7 2004 1123.67 1126.33 1116.45 1126.33 1704900000 1126.33
1 8 2004 1126.33 1131.92 1124.91 1131.92 1868400000 1131.92
1 9 2004 1131.92 1131.92 1120.9 1121.86 1720700000 1121.86
1 12 2004 1121.86 1127.85 1120.9 1127.23 1510200000 1127.23
1 13 2004 1127.23 1129.07 1115.19 1121.22 1595900000 1121.22
1 14 2004 1121.22 1130.75 1121.22 1130.52 1514600000 1130.52
1 15 2004 1130.52 1137.11 1124.54 1132.05 1.695e+09 1132.05
1 16 2004 1132.05 1139.83 1132.05 1139.83 1721100000 1139.83
1 20 2004 1139.83 1142.93 1135.4 1138.77 1698200000 1138.77
1 21 2004 1138.77 1149.21 1134.62 1147.62 1757600000 1147.62
1 22 2004 1147.62 1150.51 1143.01 1143.94 1693700000 1143.94
1 23 2004 1143.94 1150.31 1136.85 1141.55 1561200000 1141.55
1 26 2004 1141.55 1155.38 1141 1155.37 1480600000 1155.37
1 27 2004 1155.37 1155.37 1144.05 1144.05 1673100000 1144.05
1 28 2004 1144.05 1149.14 1126.5 1128.48 1.842e+09 1128.48
1 29 2004 1128.48 1134.39 1122.38 1134.11 1921900000 1134.11
1 30 2004 1134.11 1134.17 1127.73 1131.13 1.635e+09 1131.13
2 2 2004 1131.13 1142.45 1127.87 1135.26 1599200000 1135.26
2 3 2004 1135.26 1137.44 1131.33 1136.03 1476900000 1136.03
2 4 2004 1136.03 1136.03 1124.74 1126.52 1634800000 1126.52
2 5 2004 1126.52 1131.17 1124.44 1128.59 1566600000 1128.59
2 6 2004 1128.59 1142.79 1128.39 1142.76 1477600000 1142.76
2 9 2004 1142.76 1144.46 1139.21 1139.81 1303500000 1139.81
2 10 2004 1139.81 1147.02 1138.7 1145.54 1403900000 1145.54
2 11 2004 1145.54 1158.89 1142.33 1157.76 1699300000 1157.76
2 12 2004 1157.76 1157.76 1151.44 1152.11 1464300000 1152.11
2 13 2004 1152.11 1156.88 1143.24 1145.81 1329200000 1145.81
2 17 2004 1145.81 1158.98 1145.81 1156.99 1396500000 1156.99
2 18 2004 1156.99 1157.4 1149.54 1151.82 1382400000 1151.82
2 19 2004 1151.82 1158.57 1146.85 1147.06 1562800000 1147.06
2 20 2004 1147.06 1149.81 1139 1144.11 1479600000 1144.11
2 23 2004 1144.11 1146.69 1136.98 1140.99 1380400000 1140.99
2 24 2004 1140.99 1144.54 1134.43 1139.09 1543600000 1139.09
2 25 2004 1139.09 1145.24 1138.96 1143.67 1360700000 1143.67
2 26 2004 1143.67 1147.23 1138.62 1144.91 1383900000 1144.91
2 27 2004 1145.8 1151.68 1141.8 1144.94 1540400000 1144.94
3 1 2004 1144.94 1157.45 1144.94 1155.97 1497100000 1155.97
3 2 2004 1155.97 1156.54 1147.31 1149.1 1.476e+09 1149.1
3 3 2004 1149.1 1152.44 1143.78 1151.03 1334500000 1151.03
3 4 2004 1151.03 1154.97 1149.81 1154.87 1265800000 1154.87
3 5 2004 1154.87 1163.23 1148.77 1156.86 1398200000 1156.86
3 8 2004 1156.86 1159.94 1146.97 1147.2 1254400000 1147.2
3 9 2004 1147.2 1147.32 1136.84 1140.58 1499400000 1140.58
3 10 2004 1140.58 1141.45 1122.53 1123.89 1648400000 1123.89
3 11 2004 1123.89 1125.96 1105.87 1106.78 1889900000 1106.78
3 12 2004 1106.78 1120.63 1106.78 1120.57 1388500000 1120.57
3 15 2004 1120.57 1120.57 1103.36 1104.49 1600600000 1104.49
3 16 2004 1104.49 1113.76 1102.61 1110.7 1500700000 1110.7
3 17 2004 1110.7 1125.76 1110.7 1123.75 1490100000 1123.75
3 18 2004 1123.75 1125.5 1113.25 1122.32 1369200000 1122.32
3 19 2004 1122.32 1122.72 1109.69 1109.78 1457400000 1109.78
3 22 2004 1109.78 1109.78 1089.54 1095.4 1452300000 1095.4
3 23 2004 1095.4 1101.52 1091.57 1093.95 1458200000 1093.95
3 24 2004 1093.95 1098.32 1087.16 1091.33 1527800000 1091.33
3 25 2004 1091.33 1110.38 1091.33 1109.19 1471700000 1109.19
3 26 2004 1109.19 1115.27 1106.13 1108.06 1319100000 1108.06
3 29 2004 1108.06 1124.37 1108.06 1122.47 1405500000 1122.47
3 30 2004 1122.47 1127.6 1119.66 1127 1332400000 1127
3 31 2004 1127 1130.83 1121.46 1126.21 1560700000 1126.21
4 1 2004 1126.21 1135.67 1126.2 1132.17 1560700000 1132.17
4 2 2004 1132.17 1144.81 1132.17 1141.81 1629200000 1141.81
4 5 2004 1141.81 1150.57 1141.64 1150.57 1413700000 1150.57
4 6 2004 1150.57 1150.57 1143.3 1148.16 1397700000 1148.16
4 7 2004 1148.16 1148.16 1138.41 1140.53 1458800000 1140.53
4 8 2004 1140.53 1148.97 1134.52 1139.32 1199800000 1139.32
4 12 2004 1139.32 1147.29 1139.32 1145.2 1102400000 1145.2
4 13 2004 1145.2 1147.78 1127.7 1129.44 1423200000 1129.44
4 14 2004 1129.44 1132.52 1122.15 1128.17 1547700000 1128.17
4 15 2004 1128.17 1134.08 1120.75 1128.84 1568700000 1128.84
4 16 2004 1128.84 1136.8 1126.9 1134.61 1487800000 1134.61
4 19 2004 1134.56 1136.18 1129.84 1135.82 1194900000 1135.82
4 20 2004 1135.82 1139.26 1118.09 1118.15 1508500000 1118.15
4 21 2004 1118.15 1125.72 1116.03 1124.09 1738100000 1124.09
4 22 2004 1124.09 1142.77 1121.95 1139.93 1826700000 1139.93
4 23 2004 1139.93 1141.92 1134.81 1140.6 1396100000 1140.6
4 26 2004 1140.6 1145.08 1132.91 1135.53 1290600000 1135.53
4 27 2004 1135.53 1146.56 1135.53 1138.11 1.518e+09 1138.11
4 28 2004 1138.11 1138.11 1121.7 1122.41 1855600000 1122.41
