1 1955 2.7
2 1955 2
3 1955 3.6
4 1955 5
5 1955 6.5
6 1955 6.1
7 1955 5.9
8 1955 5
9 1955 6.4
10 1955 7.4
11 1955 8.2
12 1955 3.9
1 1956 4.1
2 1956 4.5
3 1956 5.5
4 1956 3.8
5 1956 4.8
6 1956 5.6
7 1956 6.3
8 1956 5.9
9 1956 8.7
10 1956 5.3
11 1956 5.7
12 1956 5.7
1 1957 3
2 1957 3.4
3 1957 4.9
4 1957 4.5
5 1957 4
6 1957 5.7
7 1957 6.3
8 1957 7.1
9 1957 8
10 1957 5.2
11 1957 5
12 1957 4.7
1 1958 3.7
2 1958 3.1
3 1958 2.5
4 1958 4
5 1958 4.1
6 1958 4.6
7 1958 4.4
8 1958 4.2
9 1958 5.1
10 1958 4.6
11 1958 4.4
12 1958 4
1 1959 2.9
2 1959 2.4
3 1959 4.7
4 1959 5.1
5 1959 4
6 1959 7.5
7 1959 7.7
8 1959 6.3
9 1959 5.3
10 1959 5.7
11 1959 4.8
12 1959 2.7
1 1960 1.7
2 1960 2
3 1960 3.4
4 1960 4
5 1960 4.3
6 1960 5
7 1960 5.5
8 1960 5
9 1960 5.4
10 1960 3.8
11 1960 2.4
12 1960 2
1 1961 2.2
2 1961 2.5
3 1961 2.6
4 1961 3.3
5 1961 2.9
6 1961 4.3
7 1961 4.2
8 1961 4.2
9 1961 3.9
10 1961 3.9
11 1961 2.5
12 1961 2.2
1 1962 2.4
2 1962 1.9
3 1962 2.1
4 1962 4.5
5 1962 3.3
6 1962 3.4
7 1962 4.1
8 1962 5.7
9 1962 4.8
10 1962 5
11 1962 2.8
12 1962 2.9
1 1963 1.7
2 1963 3.2
3 1963 2.7
4 1963 3
5 1963 3.4
6 1963 3.8
7 1963 5
8 1963 4.8
9 1963 4.9
10 1963 3.5
11 1963 2.5
12 1963 2.4
1 1964 1.6
2 1964 2.3
3 1964 2.5
4 1964 3.1
5 1964 3.5
6 1964 4.5
7 1964 5.7
8 1964 5
9 1964 4.6
10 1964 4.8
11 1964 2.1
12 1964 1.4
1 1965 2.1
2 1965 2.9
3 1965 2.7
4 1965 4.2
5 1965 3.9
6 1965 4.1
7 1965 4.6
8 1965 5.8
9 1965 4.4
10 1965 6.1
11 1965 3.5
12 1965 1.9
1 1966 1.8
2 1966 1.9
3 1966 3.7
4 1966 4.4
5 1966 3.8
6 1966 5.6
7 1966 5.7
8 1966 5.1
9 1966 5.6
10 1966 4.8
11 1966 2.5
12 1966 1.5
1 1967 1.8
2 1967 2.5
3 1967 2.6
4 1967 1.8
5 1967 3.7
6 1967 3.7
7 1967 4.9
8 1967 5.1
9 1967 3.7
10 1967 5.4
11 1967 3
12 1967 1.8
1 1968 2.1
2 1968 2.6
3 1968 2.8
4 1968 3.2
5 1968 3.5
6 1968 3.5
7 1968 4.9
8 1968 4.2
9 1968 4.7
10 1968 3.7
11 1968 3.2
12 1968 1.8
1 1969 2
2 1969 1.7
3 1969 2.8
4 1969 3.2
5 1969 4.4
6 1969 3.4
7 1969 3.9
8 1969 5.5
9 1969 3.8
10 1969 3.2
11 1969 2.3
12 1969 2.2
1 1970 1.3
2 1970 2.3
3 1970 2.7
4 1970 3.3
5 1970 3.7
6 1970 3
7 1970 3.8
8 1970 4.7
9 1970 4.6
10 1970 2.9
11 1970 1.7
12 1970 1.3
1 1971 1.8
2 1971 2
3 1971 2.2
4 1971 3
5 1971 2.4
6 1971 3.5
7 1971 3.5
8 1971 3.3
9 1971 2.7
10 1971 2.5
11 1971 1.6
12 1971 1.2
1 1972 1.5
2 1972 2
3 1972 3.1
4 1972 3
5 1972 3.5
6 1972 3.4
7 1972 4
8 1972 3.8
9 1972 3.1
10 1972 2.1
11 1972 1.6
12 1972 1.3
